date_id,no2_Predicted,o3_Predicted,pm10_Predicted,pm2.5_Predicted,so2_Predicted,status_atmo,status_UE2030
2025-02-19,91.38136674977106,57.745240146008115,54.16939451316655,25.050778079024532,6.654289205386118,MAUVAIS,DANGER
2025-02-20,100.68750817635366,55.03113505848729,59.901500630007234,32.42158051148198,16.40015468836349,MAUVAIS,DANGER
2025-02-21,81.25832858840504,61.939707569064915,58.65004017551073,30.702982996728934,3.9395291368435505,MAUVAIS,DANGER
2025-02-22,71.0424226112123,77.20649557664558,39.14682050269993,13.626208329089204,22.73123441058941,MOYEN,DANGER
2025-02-23,86.55096078090281,55.625564209564935,41.30487246079084,22.117870305674717,9.61647826496567,DÉGRADÉ,DANGER
2025-02-24,90.32534267978755,55.11112768225926,57.89175329496783,30.728424625933062,5.6650247597500565,MAUVAIS,DANGER
2025-02-25,78.57369440224805,58.33809064682737,40.8602681381527,20.237235890133263,15.489301941209522,DÉGRADÉ,DANGER
2025-02-26,88.86378801101363,54.27354503719536,44.73213459293974,27.292547916810577,10.124637472728852,MAUVAIS,DANGER
2025-02-27,94.52216450147073,60.98757442312155,57.82100261584819,39.06952211224877,18.577048183049815,MAUVAIS,DANGER
2025-02-28,89.91097790102913,63.37403970057719,39.594288040309365,22.961057595328647,17.228413697824347,DÉGRADÉ,DANGER
2025-03-01,74.77719661425176,74.00216967449906,43.64832303255083,23.14803242729493,12.820271903223896,DÉGRADÉ,DANGER
2025-03-02,78.13186747155066,60.46614795890381,37.8725733809854,19.7699249276824,3.4412156596817356,MOYEN,DANGER
2025-03-03,79.83356540760582,70.20421186868685,33.04303682853095,19.88359743312243,4.297226006442817,MOYEN,DANGER
2025-03-04,80.37031698781527,65.78826594239092,44.39602494694847,22.30973152614929,4.900115560273058,DÉGRADÉ,DANGER
